num_voters,num_alternatives,has_winner
16,10,65.48%
17,10,65.99%
18,10,66.54%
19,10,67.13%
20,10,68.34%
21,10,68.84%
22,10,69.21%
23,10,70.19%
24,10,70.23%
25,10,71.55%
26,10,71.59%
27,10,71.51%
28,10,73.54%
29,10,72.91%
30,10,72.87%
31,10,73.5%
32,10,73.41%
33,10,74.1%
34,10,74.34%
35,10,74.78%
36,10,74.78%
37,10,75.8%
38,10,76.31%
39,10,75.94%
40,10,76.42%
41,10,76.65%
42,10,77.26%
43,10,77.35%
44,10,77.27%
45,10,78.52%
46,10,77.87%
47,10,76.94%
48,10,77.77%
49,10,78.52%
50,10,78.57%
51,10,79.01%
52,10,79.41%
53,10,79.35%
54,10,78.28%
55,10,79.6%
56,10,79.79%
57,10,79.58%
58,10,80.46%
59,10,80.02%
60,10,80.84%
61,10,80.08%
62,10,80.09%
63,10,81.07%
64,10,80.8%
65,10,80.37%
66,10,81.28%
67,10,80.66%
68,10,81.71%
69,10,81.25%
70,10,82.25%
71,10,81.57%
72,10,81.51%
73,10,81.63%
74,10,81.77%
75,10,82.59%
76,10,81.55%
77,10,82.48%
78,10,82.7%
79,10,82.76%
80,10,82.76%
81,10,82.99%
82,10,82.32%
83,10,82.64%
84,10,83.74%
85,10,83.24%
86,10,83.56%
87,10,82.95%
88,10,83.39%
89,10,83.55%
90,10,84.05%
91,10,84.05%
92,10,83.18%
93,10,84.01%
94,10,84.38%
95,10,84.08%
96,10,83.77%
97,10,84.39%
98,10,84.23%
99,10,84.1%
100,10,84.81%
