num_voters,num_alternatives,has_winner
22,9,94.77%
23,9,94.82%
24,9,94.85%
25,9,94.95%
26,9,95.04%
27,9,94.86%
28,9,95.23%
29,9,95.0%
30,9,95.29%
31,9,95.55%
32,9,95.55%
33,9,95.45%
34,9,96.02%
35,9,95.29%
36,9,95.77%
37,9,95.87%
38,9,95.84%
39,9,95.71%
40,9,96.0%
41,9,96.01%
42,9,96.08%
43,9,96.24%
44,9,96.48%
45,9,95.84%
46,9,96.24%
47,9,96.05%
48,9,96.21%
49,9,96.32%
50,9,96.62%
51,9,96.51%
52,9,96.43%
53,9,96.58%
54,9,96.7%
55,9,96.59%
56,9,96.74%
57,9,96.55%
58,9,96.71%
59,9,96.41%
60,9,96.82%
61,9,96.68%
62,9,96.46%
63,9,96.64%
64,9,96.66%
65,9,96.56%
66,9,97.21%
67,9,96.95%
68,9,96.91%
69,9,97.0%
70,9,96.84%
71,9,96.62%
72,9,97.05%
73,9,97.01%
74,9,96.88%
75,9,97.31%
76,9,97.21%
77,9,96.7%
78,9,97.47%
79,9,97.04%
80,9,97.08%
81,9,97.21%
82,9,97.26%
83,9,96.91%
84,9,97.18%
85,9,96.89%
86,9,97.27%
87,9,96.96%
88,9,97.25%
89,9,97.29%
90,9,97.17%
91,9,97.42%
92,9,97.09%
93,9,97.64%
94,9,97.19%
95,9,97.39%
96,9,97.54%
97,9,97.35%
98,9,97.42%
99,9,97.55%
100,9,97.41%
2,10,81.34%
3,10,85.32%
4,10,87.16%
5,10,88.78%
6,10,90.07%
7,10,90.18%
8,10,91.02%
9,10,91.42%
10,10,91.48%
11,10,92.15%
12,10,92.36%
13,10,92.87%
14,10,93.35%
15,10,93.64%
16,10,93.35%
17,10,93.4%
18,10,94.28%
19,10,94.24%
20,10,94.3%
21,10,94.61%
22,10,94.33%
23,10,94.64%
24,10,94.8%
25,10,95.31%
26,10,94.83%
27,10,95.23%
28,10,95.22%
29,10,95.08%
30,10,95.17%
31,10,95.57%
32,10,95.06%
33,10,95.52%
34,10,95.43%
35,10,95.61%
36,10,95.55%
37,10,95.41%
38,10,95.45%
39,10,96.0%
40,10,96.09%
41,10,96.06%
42,10,95.59%
43,10,96.52%
44,10,96.07%
45,10,95.79%
46,10,96.11%
47,10,96.37%
48,10,96.24%
49,10,96.05%
50,10,96.4%
51,10,96.54%
52,10,96.34%
53,10,96.46%
54,10,96.61%
55,10,96.49%
56,10,96.04%
57,10,96.36%
58,10,96.79%
59,10,96.52%
60,10,96.32%
61,10,96.74%
62,10,96.53%
63,10,96.95%
64,10,96.78%
65,10,96.65%
66,10,96.96%
67,10,96.49%
68,10,96.54%
69,10,96.9%
70,10,96.85%
71,10,97.09%
72,10,96.88%
73,10,97.17%
74,10,97.11%
75,10,96.94%
76,10,96.97%
77,10,97.06%
78,10,97.09%
79,10,96.91%
80,10,97.0%
81,10,97.17%
82,10,97.36%
83,10,97.13%
84,10,97.06%
85,10,97.01%
86,10,96.87%
87,10,97.34%
88,10,97.27%
89,10,96.96%
90,10,97.31%
91,10,97.15%
92,10,97.06%
93,10,97.43%
94,10,97.04%
95,10,97.22%
96,10,96.87%
97,10,97.08%
98,10,97.26%
99,10,97.26%
100,10,97.37%
