num_voters,num_alternatives,0_winners,1_winners,2_winners,3_winners,4_winners,5_winners,6_winners,7_winners,8_winners,9_winners,10_winners,has_winner
93,4,17.438%,82.562%,0,0,0,0,0,0,0,0,0,82.562%
94,4,11.024%,80.29%,8.599%,0.087%,0,0,0,0,0,0,0,88.976%
95,4,17.299%,82.701%,0,0,0,0,0,0,0,0,0,82.701%
96,4,11.13%,80.506%,8.28%,0.084%,0,0,0,0,0,0,0,88.87%
97,4,17.522%,82.478%,0,0,0,0,0,0,0,0,0,82.47800000000001%
98,4,11.009%,80.413%,8.509%,0.069%,0,0,0,0,0,0,0,88.991%
99,4,17.399%,82.601%,0,0,0,0,0,0,0,0,0,82.601%
100,4,11.122%,80.595%,8.196%,0.087%,0,0,0,0,0,0,0,88.878%
2,5,0,19.869%,41.738%,29.36%,8.245%,0.788%,0,0,0,0,0,100%
3,5,16.116%,83.884%,0,0,0,0,0,0,0,0,0,83.884%
4,5,0.118%,40.198%,44.736%,13.529%,1.378%,0.041%,0,0,0,0,0,99.882%
5,5,19.996%,80.004%,0,0,0,0,0,0,0,0,0,80.004%
6,5,1.293%,51.635%,39.108%,7.501%,0.455%,0.008%,0,0,0,0,0,98.707%
7,5,21.519%,78.481%,0,0,0,0,0,0,0,0,0,78.481%
8,5,2.753%,58.075%,34.314%,4.682%,0.176%,0,0,0,0,0,0,97.247%
9,5,22.16%,77.84%,0,0,0,0,0,0,0,0,0,77.84%
10,5,4.01%,62.247%,30.507%,3.159%,0.076%,0.001%,0,0,0,0,0,95.99%
11,5,22.837%,77.163%,0,0,0,0,0,0,0,0,0,77.163%
12,5,5.094%,64.95%,27.582%,2.316%,0.058%,0,0,0,0,0,0,94.906%
13,5,23.054%,76.946%,0,0,0,0,0,0,0,0,0,76.946%
14,5,5.897%,67.185%,25.083%,1.803%,0.032%,0,0,0,0,0,0,94.103%
15,5,23.603%,76.397%,0,0,0,0,0,0,0,0,0,76.39699999999999%
16,5,7.016%,68.417%,23.059%,1.487%,0.021%,0,0,0,0,0,0,92.984%
17,5,23.564%,76.436%,0,0,0,0,0,0,0,0,0,76.436%
18,5,7.428%,69.82%,21.561%,1.173%,0.018%,0,0,0,0,0,0,92.572%
19,5,24.008%,75.992%,0,0,0,0,0,0,0,0,0,75.992%
20,5,8.329%,70.723%,19.936%,1.002%,0.01%,0,0,0,0,0,0,91.67099999999999%
21,5,24.048%,75.952%,0,0,0,0,0,0,0,0,0,75.952%
22,5,8.879%,71.353%,18.847%,0.913%,0.008%,0,0,0,0,0,0,91.121%
23,5,24.111%,75.889%,0,0,0,0,0,0,0,0,0,75.889%
24,5,9.233%,72.17%,17.871%,0.717%,0.009%,0,0,0,0,0,0,90.767%
25,5,24.208%,75.792%,0,0,0,0,0,0,0,0,0,75.792%
26,5,9.681%,72.653%,16.995%,0.666%,0.005%,0,0,0,0,0,0,90.319%
27,5,24.426%,75.574%,0,0,0,0,0,0,0,0,0,75.574%
28,5,10.119%,73.001%,16.292%,0.584%,0.004%,0,0,0,0,0,0,89.881%
29,5,24.22%,75.78%,0,0,0,0,0,0,0,0,0,75.78%
30,5,10.815%,73.236%,15.409%,0.537%,0.003%,0,0,0,0,0,0,89.185%
31,5,24.185%,75.815%,0,0,0,0,0,0,0,0,0,75.815%
32,5,11.155%,73.652%,14.732%,0.46%,0.001%,0,0,0,0,0,0,88.845%
33,5,24.617%,75.383%,0,0,0,0,0,0,0,0,0,75.383%
34,5,11.39%,73.791%,14.409%,0.41%,0,0,0,0,0,0,0,88.61%
35,5,24.398%,75.602%,0,0,0,0,0,0,0,0,0,75.602%
36,5,11.595%,74.267%,13.765%,0.369%,0.004%,0,0,0,0,0,0,88.405%
37,5,24.402%,75.598%,0,0,0,0,0,0,0,0,0,75.598%
38,5,12.123%,74.263%,13.234%,0.378%,0.002%,0,0,0,0,0,0,87.877%
39,5,24.558%,75.442%,0,0,0,0,0,0,0,0,0,75.44200000000001%
40,5,12.377%,74.4%,12.897%,0.324%,0.002%,0,0,0,0,0,0,87.623%
41,5,24.737%,75.263%,0,0,0,0,0,0,0,0,0,75.263%
42,5,12.572%,74.693%,12.443%,0.292%,0,0,0,0,0,0,0,87.428%
43,5,24.671%,75.329%,0,0,0,0,0,0,0,0,0,75.32900000000001%
44,5,12.721%,74.917%,12.103%,0.257%,0.002%,0,0,0,0,0,0,87.279%
45,5,24.473%,75.527%,0,0,0,0,0,0,0,0,0,75.527%
46,5,13.11%,74.939%,11.693%,0.256%,0.002%,0,0,0,0,0,0,86.89%
47,5,24.648%,75.352%,0,0,0,0,0,0,0,0,0,75.352%
48,5,13.179%,75.197%,11.391%,0.232%,0.001%,0,0,0,0,0,0,86.821%
49,5,24.291%,75.709%,0,0,0,0,0,0,0,0,0,75.709%
50,5,13.463%,75.178%,11.151%,0.207%,0.001%,0,0,0,0,0,0,86.537%
51,5,24.614%,75.386%,0,0,0,0,0,0,0,0,0,75.386%
52,5,13.567%,75.264%,10.957%,0.211%,0.001%,0,0,0,0,0,0,86.43299999999999%
53,5,24.796%,75.204%,0,0,0,0,0,0,0,0,0,75.20400000000001%
54,5,13.82%,75.159%,10.795%,0.224%,0.002%,0,0,0,0,0,0,86.18%
55,5,24.954%,75.046%,0,0,0,0,0,0,0,0,0,75.04599999999999%
56,5,13.908%,75.54%,10.329%,0.223%,0,0,0,0,0,0,0,86.092%
57,5,24.775%,75.225%,0,0,0,0,0,0,0,0,0,75.225%
